source_id,filter,ra,dec,x,y,flux,flux_err,mag,mag_err,snr,aper_radius_arcsec,aper_radius_pixels
T17-2741,F515,202.9693333333333,-44.409613888888885,5099.340012860611,8223.651515376387,5.53840974476128,0.733231245269794,22.491537293150873,0.14374084730771705,7.553428444969513,3.0,5.454545454545454
T17-2932,F515,203.48475,-44.26152222222222,2682.1062857343795,9182.945935484262,2.551166734466208,0.751783009539924,23.33315289160539,0.3199469562503161,3.3934881502941527,3.0,5.454545454545454
T17-2859,F515,203.259375,-44.23307222222222,3737.785844806131,9375.468041835022,3.0611048359286146,0.7517215204488615,23.13530449135651,0.2666263700176621,4.072126116731092,3.0,5.454545454545454
T17-2753,F515,203.00375,-44.36922777777777,4938.020567731155,8487.810289965368,8.76383736933229,0.7332549211944057,21.993264225615196,0.09084164638241014,11.951965293402727,3.0,5.454545454545454
T17-2447,F515,202.32729166666664,-44.55454444444444,8094.990759937853,7266.3467645317605,6.272084612749646,0.7264636163299087,22.35647022872582,0.12575529483221026,8.633721595633643,3.0,5.454545454545454
T17-2510,F515,202.4670833333333,-44.44309722222221,7446.69782143017,7999.728602758329,3.1855723340517326,0.7369408546118716,23.092031322614904,0.2511709930629101,4.322697424245117,3.0,5.454545454545454
T17-2585,F515,202.6370833333333,-44.23965555555555,6656.287383011221,9334.66379084723,8.475763343082585,0.7379930965448341,22.029552944977496,0.09453612510715435,11.484881610362963,3.0,5.454545454545454
T17-2685,F515,202.84416666666664,-44.19171388888888,5685.302083542006,9650.191998585597,4.578016833774244,0.7413839130826346,22.698306536797958,0.1758288327208814,6.174961113924222,3.0,5.454545454545454
T17-2550,F515,202.5809583333333,-44.18536111111111,6920.8164632957,9689.205900080273,9.882409396766539,0.7388352008292637,21.862842896589655,0.0811725253107348,13.375661291820677,3.0,5.454545454545454
T17-2440,F515,202.3138333333333,-44.27450833333333,8170.6192825830585,9098.976792596653,2.422608542794126,0.7315003963592198,23.389291889170288,0.32783524456910973,3.311834901049663,3.0,5.454545454545454
T17-2519,F515,202.507,-44.19212777777777,7267.7721608854,9643.47450543992,12.741586135129262,0.739097935971127,21.586941263820997,0.06298002300776484,17.239374533481328,3.0,5.454545454545454
T17-2520,F515,202.509375,-44.123997222222215,7258.679619509109,10089.531696633696,23.14504719139215,0.7439039576120418,20.938854823448303,0.03489660025159229,31.112950743922074,3.0,5.454545454545454
T17-2230,F515,201.90516666666664,-44.30327499999999,10083.778129029133,8892.598433430063,3.1766699603278807,0.7558408035113865,23.09506975948077,0.2583345879976417,4.202829412715115,3.0,5.454545454545454
T17-3019,F515,203.78204166666663,-44.21341944444444,1284.909471933981,9485.106695621902,11.757439092997243,0.7694682599144601,21.674218155873955,0.07105625141608919,15.279953320367353,3.0,5.454545454545454
T17-2421,F660,202.2830833333333,-45.4131861111111,8259.655278210397,1644.5369064231359,1.838315166245498,0.25818770680158243,23.618950074557162,0.15248948931345485,7.120072403982601,3.0,5.454545454545454
